Date,Calories (kcal),Heart Points,Heart Minutes,Step count,Distance (m),Average speed (m/s),Max speed (m/s),Min speed (m/s),Move Minutes count,Inactive duration (ms),Walking duration (ms)
7/4/20,2032.641096,53,40,7548,5404.406194,0.616130812,1.778951764,0.254674584,71,78226787,4796258
7/5/20,2039.824884,62,45,7024,5102.656861,0.848010945,1.814650297,0.254992932,58,80105466,6291560
7/6/20,1661.931587,,,305,142.4396441,0.609914774,1.184944391,0.261044651,4,86024763,375237
7/7/20,1990.719244,46,30,8068,5489.127274,0.901684612,2.078851938,0.271661431,80,77591005,5443186
7/8/20,1962.881155,62,44,8724,6058.282899,0.754405836,1.842862844,0.257736653,83,80272402,4871426
7/9/20,1661.924303,5,3,2352,1456.122459,0.454442972,1.845179915,0.289141834,31,83511654,375123
7/10/20,1786.322785,10,10,3010,1960.018817,0.817224049,1.625835299,0.281048894,35,78416969,2322716
7/11/20,1816.241248,18,15,5549,3653.158586,0.835540517,1.759060621,0.275749475,68,76438149,2782629
7/12/20,1938.071263,68,51,9162,6720.620544,0.867566864,1.836023927,0.25701496,88,79750939,4621067
7/13/20,2623.041973,169,92,13712,8123.713707,0.877169612,2.267447233,0.246089086,112,71145859,15254141
7/14/20,2178.174892,84,58,9690,7154.848981,0.781395993,1.867705226,0.251053244,85,77080328,8408527
7/15/20,1824.805342,38,28,6573,4427.454637,0.907569448,1.91973114,0.270133764,69,80334850,2859734
7/16/20,1733.102484,6,6,2966,1821.280375,0.956851442,1.840291262,0.250813127,33,79710757,1489494
7/17/20,2734.611759,135,80,14571,10528.01343,0.931355738,1.932163954,0.253170192,133,68803694,17153115
7/18/20,1637.964088,,,161,42.98086369,0.551565088,1.1315943,0.253100425,,86400000,
7/19/20,1642.013668,,,345,120.1450232,0.319127177,0.321268708,0.314841181,1,86336599,63401
7/20/20,2038.109404,86,53,12604,8749.762826,0.660645246,1.857475758,0.25701496,128,76944129,6258156
7/21/20,2197.696308,122,99,16625,11800.09193,0.824607578,1.84540534,0.24530834,150,76689732,8456079
7/22/20,2228.019721,99,60,14759,10419.38676,0.842811815,1.847120285,0.255303085,160,66519561,9121478
7/23/20,2244.779032,190,124,19497,14432.7879,0.92344367,1.947111845,0.264836997,168,75761272,8939393
7/24/20,1930.385073,80,41,7311,5470.981307,0.571223166,1.933302164,0.275944531,64,81091223,4460978
7/25/20,1637.964096,,,259,72.57536817,0.341345073,0.444325745,0.278432846,,86400000,
7/26/20,1740.417104,20,15,4577,2812.237927,0.61313836,1.84427309,0.25701496,45,80829617,1550798
7/27/20,1807.268809,38,23,5709,3802.630085,0.547837037,1.837182403,0.2502639,50,80507900,2410792
